Altair	견우성	牽牛星
overwhelm	압도하다	壓倒
overwhelm	압도적인	壓倒
overwhelming	압도적인	壓倒
overwork	과로	過勞
overwork	과로하다	過勞
oviduct	수란관	輸卵管
ovulation	배란	排卵
ovule	난자	卵子
ovum	난자	卵子
owner	소유자	所有者
oxalic acid	수산	蓚酸
oxcart	우차	牛車
oxidation	산화	酸化
oxygen	산소	酸素
pacification	진정	鎭靜
pact	협정	協定
pact	조약	條約
paean	찬가	讚歌
pain	고통	苦痛
paint	도료	塗料
pair	부부	夫婦
palace	궁전	宮殿
palate	구개	口蓋
palate	미각	味覺
palm print	장문	掌紋
palpation	촉진	觸診
palpitation	동계	動悸
palsy	중풍	中風
palsy	마비	痲痺
pancreas	췌장	膵臟
pandemonium	복마전	伏魔殿
pangolin	천산갑	穿山甲
panic	공황	恐慌
pantheism	범신론	汎神論
pantomime	무언극	無言劇
paper money	지폐	紙幣
par	평가	平價
parabola	포물선	抛物線
parachute	낙하산	落下傘
paradise	천국	天國
paragenesis	공생	共生
paragraph	단락	段落
parallax	시차	視差
parallel	위선	緯線
parallelism	평행	平行
paralysis	마비	痲痺
parcel	소포	小包
parenthesis	괄호	括弧
parity	평가	平價
park	공원	公園
parking lot	주차장	駐車場
parliament	의회	議會
parliament	국회	國會
part	부분	部分
part	일부	一部
part	역할	役割
partial	부분적인	部分的
partiality	편애	偏愛
participant	참가자	參加者
participation	관여	關與
participation	참가	參加
participation	참여	參與
participle	분사	分詞
partition	분할	分割
passage	통행	通行
passage	통로	通路
passenger	승객	乘客
passenger	선객	船客
passenger boat	객선	客船
passenger car	객차	客車
passenger plane	여객기	旅客機
passing	통행하는	通行
passion	격정	激情
passion	정욕	情慾情欲
passion	정열	情熱
passion	수난	受難
passive voice	수동태	受動態
passport	여권	旅券
password	암호	暗號
pasture	목초	牧草
pasture	방목하다	放牧
patella	슬개골	膝蓋骨
patent	특허	特許
patent medicine	매약	賣藥
patriarch	가장	家長
patriarch	족장	族長
patriot	애국자	愛國者
patronage	애고	愛顧
patronage	후원하다	後援
patronize	후원하다	後援
pattern	양식	樣式
pause	휴지	休止
pavement	포도	鋪道
pavement	포장	鋪裝
paving stone	포석	鋪石
peace	평화	平和
peace	강화	講和
peaceful	평화적인	平和的
peacock	공작	孔雀
peanut	낙화생	落花生
peasant	농부	農夫
peasant	농민	農民
peculiarity	독특	獨特
pedantry	현학	衒學
peddle	행상하다	行商
pedestal	대좌	臺座
pedigree	계도	系圖
pelvis	골반	骨盤
pen name	필명	筆名
penal code	형법	刑法
penal servitude	징역	懲役
penalty	형벌	刑罰
penalty	벌금	罰金
penance	고행	苦行
pencil	연필	鉛筆
penetrate	관통하다	貫通
penetrate	간파하다	看破
peninsula	반도	半島
penis	음경	陰莖
penitence	참회	懺悔
penmanship	서법	書法
penmanship	습자	習字
pension	연금	年金
peony	작약	芍藥
people	국민	國民
people	인민	人民
pep	원기	元氣
perception	지각	知覺
percolation	여과	濾過
perfection	완전	完全
perfection	완성	完成
perfection	극치	極致
perfidy	불신	不信
perforation	천공	穿孔
performance	연기	演技
perfume	방향	芳香
perfume	향수	香水
perfume	향료	香料
perianth	화피	花被
perigee	근지점	近地點
perihelion	근일점	近日點
peril	위험	危險
period	기간	期間
period	시대	時代
periosteum	골막	骨膜
periscope	잠망경	潛望鏡
peritoneum	복막	腹膜
perjury	위증	僞證
permanence	영속	永續
permission	허가	許可
permission	허용	許容
permit	면허	免許
permutation	순열	順列
perpetuity	영존	永存
persecutor	박해자	迫害者
persistence	고집	固執
personage	인물	人物
personal	개인적인	個人
personality	개성	個性
personality	인격	人格
personality	인물	人物
personification	의인법	擬人法
personification	체현	體現
personification	화신	化身
personnel	인원	人員
personnel	요원	要員
perusal	숙독	熟讀
perversion	악용	惡用
perversion	도착	倒錯
pervert	악용하다	惡用
pessimism	비관	悲觀
pet name	애칭	愛稱
petition	탄원	歎願
petition	진정	陳情
petition	애원	哀願
petitioner	청원자	請願者
petrifaction	화석	化石
petroleum	석유	石油
phantom	환영	幻影
phantom	유령	幽靈
phantom	환상	幻像
pharmaceutics	약학	藥學
pharmacy	약학	藥學
pharmacy	약국	藥局
pharynx	인두	咽頭
phenol	석탄산	石炭酸
phenomenon	현상	現象
philanthropy	박애	博愛
philosopher	철학자	哲學者
philosopher	철인	哲人
philosophy	철학	哲學
philosophy	철리	哲理
phimosis	포경	包莖
phlebotomy	사혈	瀉血
phlegm	점액	粘液
phonetics	음성학	音聲學
phosphoric acid	아인산	亞燐酸
photochemistry	광화학	光化學
photon	광자	光子
phototropism	굴광성	屈光性
physical	물질적인	物質的
physical education	체육	體育
physical geography	지문학	地文學
physician	의사	醫師
physicist	물리학자	物理學者
physics	물리학	物理學
physiocrat	중농주의자	重農主義者
physique	체격	體格
picture	묘사하다	描寫
pier	부두	埠頭
pierce	관통하다	貫通
pigment	색소	色素
pigtail	변발	辯髮
pilgrim	순례자	巡禮者
pilgrimage	순례하다	巡禮
pill	환약	丸藥
pillage	약탈	掠奪
pinch hitter	대타자	代打者
pinworm	요충	蟯蟲
pioneer	개척자	開拓者
pioneer	선구자	先驅者
pioneer	개척하다	開拓
pirate	해적	海賊
pitcher	투수	投手
pitching	투구	投球
pitfall	함정	陷穽
pithead	갱구	坑口
pituitary gland	뇌하수체	腦下垂體
pity	연민	憐愍
pity	동정	同情
place	장소	場所
place	여지	餘地
placenta	태반	胎盤
plague	역병	疫病
plain clothes	평복	平服
plain speaking	직언	直言
plaintiff	원고	原告
plan	계획	計劃
plan	설계	設計
plan	방책	方策
plan	도면	圖面
plane	평면	平面
planet	유성	遊星
planet	혹성	惑星
planetarium	천상의	天象儀
plant	식물	植物
planting	파종	播種
plasma	원형질	原形質
plasma	혈장	血漿
plaster	석고	石膏
plateau	고원	高原
player	배우	俳優
playhouse	극장	劇場
pleading	변호	辨護辯護
pledge	보증	保證
plenty	풍부	豊富
plenty	충분히	充分
plenty	충분히	充分
plunder	약탈하다	掠奪
plunder	약탈	掠奪
pluperfect	대과거	大過去
plural	복수	複數
plywood	합판	合板
pneumonia	폐렴	肺炎
poet	시인	詩人
poetry	운문	韻文
pointer	지침	指針
poison	해독	害毒
poisoning	중독	中毒
polarity	극성	極性
polarization	편광	偏光
police	경찰	警察
police	경찰	警察
police station	경찰서	警察署
policeman	경관	警官
policy	정책	政策
policy	방침	方針
polish	세련하다	洗練
political party	정당	政黨
politician	정치가	政治家
politics	정략	政略
poll	투표	投票
poll	투표하다	投票
pollution	오염	汚染
pollution	공해	公害
polygon	다각형	多角形
pomegranate	석류	石榴
popular name	속명	俗名
popular song	유행가	流行歌
popularity	인망	人望
population	인구	人口
population	주민	住民
porcelain	자기	磁器
pore	세공	細孔
porosity	다공성	多孔性
portent	전조	前兆
porthole	현창	舷窓
portion	부분	部分
portrait	초상	肖像
portrayal	묘사	描寫
position	위치	位置
position	지위	地位
position	입장	立場
positive	적극적인	積極的
positive electricity	양전기	陽電氣
positive proof	확증	確證
positron	양전자	陽電子
possession	속령	屬領
possessor	소유자	所有者
possibility	가능성	可能性
postal service	우편	郵便
posterity	자손	子孫
posterity	후세	後世
postmark	소인	消印
postscript	추신	追伸
postscript	추백	追白
posture	자세	姿勢
potentiality	가능성	可能性
potter	도공	陶工
pottery	도기	陶器
poultry	가금	家禽
power	세력	勢力
power	권력	權力
power	동력	動力
practical	실용적인	實用的
practice	실행	實行
practice	연습	練習
practice	실행하다	實行
practice	연습하다	練習
praise	찬미	讚美
prayer	기원	祈願
precedence	상석	上席
precedent	선례	先例
precedent	판례	判例
preceding	선행하는	先行
precipice	절벽	絶壁
precipitation	침전	沈澱
preconception	선입관	先入觀
predation	포식	捕食
predestination	숙명	宿命
predicament	궁경	窮境
predicate	술어	述語
predict	예언하다	豫言
prediction	예언	豫言
predominate	지배하다	支配
preferential treatment	우대	優待
prefigure	예시하다	豫示
prefigure	예상하다	豫想
prefix	접두사	接頭辭
prejudice	편견	偏見
premise	전제	前提
premise	구내	構內
premonition	예감	豫感
preoccupation	선취	先取
preoccupation	선입관	先入觀
preparation	준비	準備
preponderance	우세	優勢
preposition	전치사	前置詞
presbyopia	노안	老眼
prescribe	명령하다	命令
prescription	처방	處方
presence	출석	出席
presence	면전	面前
present	현재	現在
presentation	증정	贈呈
presentation	제출	提出
presentation	제시	提示
presentation	표현	表現
presenter	제출자	提出者
preservation	보존	保存
preservation	저장	貯藏
preservation	방부	防腐
president	대통령	大統領
president	총재	總裁
president	총장	總長
pressure	압력	壓力
pressure	압박	壓迫
pressure	절박	切迫
presumption	추정	推定
prevention	방지	防止
prevention	예방	豫防
previous conviction	전과	前科
price	대가	代價
pride	자만	自慢
pride	득의	得意
priest	사제	司祭
prime number	소수	素數
prince	왕자	王子
prince	대군	大君
princess	왕녀	王女
principal	원금	元金
principal clause	주절	主節
principal offender	정범자	正犯者
principal offender	주범	主犯
principle	원리	原理
principle	원칙	原則
principle	주의	主義
principle	본원	本源
principle	원리	原理
printing	인쇄	印刷
prison	형무소	刑務所
prison	감옥	監獄
private	개인적인	個人
private law	사법	私法
private right	사권	私權
privation	결여	缺如
privilege	특권	特權
privilege	특전	特典
prize	포상	褒賞
prize	상품	賞品
pro	직업적인	職業的
probability	개연성	蓋然性
probation	시련	試練
probe	조사하다	調査
problem	문제	問題
problem	의문	疑問
problem	문제	問題
proceed	매상고	賣上高
proceeds	매상고	賣上高
proceeds	수익	收益
process	행진하다	行進
procession	행렬	行列
proclamation	선언	宣言
prodigality	방탕	放蕩
prodigy	비범	非凡
prodigy	천재	天才
producer	생산자	生産者
production	생산	生産
production	제작	製作
production	작품	作品
profession	공언	公言
professional	직업적인	職業的
proffer	제공하다	提供
progenitor	선배	先輩
prognosis	예후	豫後
prognosticate	예언하다	豫言
prognostication	예언	豫言
program	예정	豫定
program	계획	計劃
program	계획하다	計劃
progress	전진	前進
progress	전진하다	前進
progression	수열	數列
prohibition	금지	禁止
prohibition	금령	禁令
project	고안하다	考案
project	계획	計劃
projection	돌출	突出
projection	영사	映寫
prolongation	연장	延長
promiscuity	난잡	亂雜
promise	약속하다	約束
promotion	승진	昇進
promotion	촉진	促進
promotion	주창	主唱
promulgation	선포	宣布
pronoun	대명사	代名詞
pronouncement	선고	宣告
proof	증명	證明
proof	증거	證據
prop	지주	支柱
property	재산	財産
prophecy	예언	預言
prophet	예언자	預言者
proponent	제안자	提案者
proportion	비율	比率
proportion	비례	比例
proposal	제안	提案
propose	기도하다	企圖
propose	계획하다	計劃
proposition	제안	提案
proposition	정리	定理
proposition	명제	命題
proprietor	소유자	所有者
proprietor	경영자	經營者
propulsion	추진	推進
prose	산문	散文
prosecution	기소	起訴
prospect	조망	眺望
prospector	시굴자	試掘者
prosperity	번영	繁榮
prostitution	매춘	賣春
prostration	부복	俯伏
protection	보호	保護
protection	방어	防禦
protector	보호자	保護者
protein	단백질	蛋白質
protest	항의하다	抗議
protest	이의	異議
protoplasm	원형질	原形質
prototype	원형	原型
protrusion	돌출	突出
protuberance	돌기	突起
protuberance	융기	隆起
prove	시험하다	試驗
provide	공급하다	供給
provider	공급자	供給者
provision	준비	準備
provision	식량	食糧
proviso	단서	但書
prudence	사려	思慮
prudence	신중	愼重
pruning	전정	剪定
pseudonym	필명	筆名
psoriasis	건선	乾癬
psychologist	심리학자	心理學者
psychology	심리학	心理學
ptarmigan	뇌조	雷鳥
pubes	음모	陰毛
public	공중	公衆
public corporation	공사	公社
public corporation	공단	公團
public debt	공채	公債
public enemy	공적	公敵
public good	공익	公益
public hearing	공청회	公聽會
public law	공법	公法
public nuisance	공해	公害
public opinion	여론	與論
public prosecutor	검사	檢事
public sale	공매	公賣
public servant	공무원	公務員
publication	발표	發表
publication	출판	出版
publicity	선전	宣傳
pulmonary tuberculosis	폐결핵	肺結核
pulp	치수	齒髓
pulsation	맥박	脈拍
pulsation	동계	動悸
pulse	맥박	脈拍
pulverization	분쇄	粉碎
punishment	처벌	處罰
punishment	형벌	刑罰
pupil	동공	瞳孔
puppet	괴뢰	傀儡
purchase	구입	購入
purchaser	구매자	購買者
purgatory	연옥	煉獄
purification	정화	淨化
purification	정제	精製
purification	재계	齋戒
purity	청정	淸淨
purity	결백	潔白
purpose	목적	目的
pursuer	추적자	追跡者
pursuit	추적	追跡
pustule	농포	膿疱
pylorus	유문	幽門
pyramid	금자탑	金字塔
pyramid	각추	角錐
pyrethrum	제충국	除蟲菊
pyroxene	휘석	輝石
qualification	자격	資格
quantity	수량	數量
quantity	분량	分量
quantum	양자	量子
quantum theory	양자론	量子論
quarantine	검역하다	檢疫
quartz	석영	石英
queen	왕비	王妃
queen	여왕	女王
queen mother	태후	太后
query	질문하다	質問
quest	탐구	探求
question	질문하다	質問
question	의심하다	疑心
question	탐구하다	探究
queue	변발	辯髮
quicksand	유사	流砂
quiet	평온히	平穩
quintessence	진수	眞髓
quivering	진동하는	振動
quorum	정족수	定足數
quotation	인용	引用
rabies	광견병	狂犬病
race	민족	民族
race	경주	競走
rack	고문	拷問
rack	고문하다	拷問
radiation	발광	發光
radiation	방열	放熱
radiation	복사	輻射
radiation	방사	放射
radius	반경	半徑
rage	격노	激怒
rage	격노하다	激怒
rage	발광하다	發狂
raid	급습	急襲
raid	침입하다	侵入
railroad	철도	鐵道
rain	강우	降雨
rain	강우	降雨
rainfall	강우	降雨
rainy season	우기	雨期
raisin	건포도	乾葡萄
rally	규합하다	糾合
rampart	성벽	城壁
range	범위	範圍
range	범위	範圍
range	범위	範圍
rank	계급	階級
rank	병졸	兵卒
ransack	약탈하다	掠奪
rapid	급류	急流
rascal	악한	惡漢
rascal	악당	惡黨
rash	발진	發疹
rat	밀고자	密告者
rate	속도	速度
ratification	비준	批准
ratification	추인	追認
ratify	비준하다	批准
ratio	비율	比率
ration	식량	食糧
rational	합리적인	合理的
raw material	원료	原料
raw material	소재	素材
reaction	반작용	反作用
reaction	반응	反應
reaction	반응	反應
reaction	반작용	反作用
reactionary	반동적인	反動的
reader	독자	讀者
reading	독서	讀書
reading	독서하는	讀書
reading-book	독본	讀本
ready money	현금	現金
reaffirmation	재확인	再確認
reagent	시약	試藥
real image	실상	實像
real rights	물권	物權
real world	실사회	實社會
reality	현실	現實
reality	사실	事實
reality	실재	實在
reality	실재	實在
reality	실재	實在
realization	현실화	現實化
realm	국토	國土
reap	수확하다	收穫
reappearance	재현	再現
reappraisal	재평가	再評價
reappraisal	재검토	再檢討
rear	배후	背後
rear	후미	後尾
rear guard	후위	後衛
rearmament	재무장	再武裝
rearmament	재군비	再軍備
reason	이성	理性
reason	도리	道理
reason	이유	理由
reason	이성	理性
reasoning	추리	推理
reasoning	논법	論法
reave	약탈하다	掠奪
rebel	반역자	反逆者
rebel	반도	叛徒
rebellion	모반	謀叛
rebellion	반란	反亂
rebellion	폭동	暴動
rebirth	재생	再生
recall	소환	召還
receipt	영수	領收
receipt	수취	受取
receipt	영수증	領收證
receiver	수화기	受話器
reception	응접	應接
reception	환영	歡迎
recess	휴게	休憩
recession	퇴거	退去
reciprocity	교환	交換
recitation	암송	暗誦
recitation	낭송	朗誦
recognition	인식	認識
recognition	인정	認定
recognition	인지	認知
recognition	승인	承認
recoil	반동	反動
recollection	회고	回顧
recollection	상기	想起
recollection	추억	追憶
recommendation	추천	推薦
recommendation	천거	薦擧
recommendation	권고	勸告
reconciliation	화해	和解
reconnaissance	정찰	偵察
reconsideration	재고	再考
reconstruction	재건	再建
record	성적	成績
recovery	회수	回收
recreation	휴양	休養
rectification	정류	整流
rectify	교정하다	矯正
rectum	직장	直腸
recursion	회귀	回歸
recursive	재귀하는	再歸
red	적색	赤色
red tide	적조	赤潮
red wine	적포도주	赤葡萄酒
redemption	상환	償還
rediscount	재할인하다	再割引
rediscount	재할인	再割引
reduce	통분하다	通分
reduction	축소	縮小
reduction	감소	減少
reduction	할인	割引
reef	암초	暗礁
reef	광맥	鑛脈
referee	심판하다	審判
reference	언급	言及
refine	세련하다	洗練
refine	세련하다	洗練
refinement	우아	優雅
reform	개심하다	改心
reform	개정	改定
reform	개혁	改革
reform	개심	改心
reformation	개혁	改革
refreshment	다과	茶菓
refrigeration	냉각	冷却
refugee	망명자	亡命者
refusal	거절	拒絶
refusal	거부	拒否
refusal	사퇴	辭退
refutation	논박	論駁
refutation	반박	反駁
regard	존중하다	尊重
regard	존경하다	尊敬
regard	경의하다	敬意
regard	응시하다	凝視
regard	존중	尊重
regenerate	개심하다	改心
regeneration	재생	再生
regeneration	재생	再生
regent	섭정	攝政
regent	섭정하는	攝政
regiment	연대	聯隊
region	지역	地域
region	영역	領域
region	영역	領域
register	음역	音域
registration	등기	登記
registry	등기	登記
regrant	재교부하다	再交付
regrant	재교부	再交付
regret	후회	後悔
regret	회한	悔恨
regret	애도	哀悼
regret	후회하다	後悔
regular	규칙적인	規則的
regular	정상적인	定常
regularity	질서	秩序
regulation	규제	規制
regulation	조절	調節
regulation	조정	調整
regulation	규칙	規則
regulation	규정	規定
rehabilitation	복권	復權
rehabilitation	재건	再建
rehearse	연습하다	練習
reign	치세	治世
reign	군림	君臨
reign	통치	統治
reign	통치하다	統治
reign	군림하다	君臨
reincarnation	재생	再生
reindeer	순록	馴鹿
reinvest	재투자하다	再投資
rejection	배제	排除
rejection	거절	拒絶
rejection	각하	却下
rejection	부결	否決
rejuvenation	회춘	回春
relation	관계	關係
relation	관련	關聯
relation	관계	關係
relation	관계	關係
relative	친척	親戚
relative	상대적인	相對的
relay	교체	交替
relay	교대	交代
relay	계전기	繼電氣
relay	체전	遞傳
relay	중계	中繼
relay	중계하다	中繼
relay	중계하다	中繼
release	해제하다	解除
release	면제하다	免除
release	해방	解放
release	석방	釋放
release	방면	放免
release	해제	解除
reliance	신용	信用
relief	구제	救濟
relief	구원	救援
relief	교체	交替
relief	부조	浮彫
relish	상미	賞味
relish	상미하다	賞味
remain	잔재	殘滓
remain	유해	遺骸
remain	유골	遺骨
remainder	잔여	殘餘
remark	주목하다	注目
remark	논평하다	論評
remedy	요법	療法
remedy	교정하다	矯正
remember	상기하다	想起
remember	상기하다	想起
remembrance	기억	記憶
reminiscence	회상	回想
reminiscence	추억	追憶
removal	이동	移動
removal	제거	除去
remuneration	보수	報酬
renewal	일신	一新
renovation	쇄신	刷新
renown	고명	高名
repair	수리하다	修理
reparation	배상	賠償
repatriation	귀환	歸還
repayment	상환	償還
repeal	폐기	廢棄
repeal	철회	撤回
repeat	반복하다	反復
repeating	반복하는	反復
repent	후회하다	後悔
repentance	후회	後悔
repentance	참회	懺悔
repetition	반복	反復
repetition	복창	復唱
replace	대체하다	代替
replacement	후계자	後繼者
reply	회답	回答
reply	응수	應酬
report	기사	記事
report	총성	銃聲
report	보고하다	報告
report	보도하다	報道
report	통보하다	通報
report	보고하다	報告
report	보도하다	報道
repose	정지	靜止
repose	휴식하다	休息
representation	대표	代表
representation	대리	代理
representative	대표자	代表者
representative	대리인	代理人
representative	대표하는	代表
representative	대표적인	代表的
reprimand	견책	譴責
reprimand	질책	叱責
reprimand	질책하다	叱責
reprint	번각하다	飜刻
reproduction	재현	再現
reproduction	재생산	再生産
reproduction	복제	複製
reproof	견책	譴責
repudiation	부인	否認
reputation	평판	評判
reputation	세평	世評
request	요청하다	要請
request	신청하다	申請
request	요구	要求
request	요청	要請
request	간청	懇請
request	청구	請求
request	수요	需要
require	요구하다	要求
require	명령하다	命令
require	요청하다	要請
require	요구하다	要求
requisite	필수품	必需品
requisition	징발	徵發
requisition	요구하다	要求
resale	전매	轉賣
rescind	폐지하다	廢止
rescue	구출하다	救出
rescue	구조하다	救助
rescue	구출	救出
rescue	구원	救援
research	탐구	探究
research	조사하다	調査
resentment	분개	憤慨
resentment	분노	忿怒
reserve	보류하다	保留
reserve	보류	保留
reserve	예비	豫備
residence	주거	住居
residence	주소	住所
residence	거주	居住
residence	거류	居留
residence	주재	駐在
resident	거주자	居住者
residue	잔여	殘餘
resignation	사직	辭職
resignation	사임	辭任
resignation	포기	抛棄
resignation	복종	服從
resignation	인종	忍從
resin	수지	樹脂
resistance	저항	抵抗
resistance	반항	反抗
resistance	반대	反對
resistance	저항	抵抗
resistance	저항	抵抗
resistance	저항	抵抗
resolutely	결연히	決然
resolution	결의	決議
resolution	결의	決議
resolve	의결하다	議決
resolve	결심하다	決心
resonance	공명	共鳴
resonance	공진	共振
resound	반향하다	反響
resource	재원	財源
resource	자력	資力
resource	기략	機略
respect	존경	尊敬
respect	경의	敬意
respect	존중	尊重
respect	존경하다	尊敬
respect	존중하다	尊重
respectively	각각	各各
respiration	호흡	呼吸
respiration	호흡	呼吸
response	응답	應答
response	반응	反應
responsibility	책임	責任
responsibility	의무	義務
responsibility	책임	責任
responsibility	부담	負擔
rest	잔여	殘餘
rest	휴식하다	休息
rest	휴식	休息
rest	휴양	休養
rest	안정	安靜
rest	휴지	休止
rest	휴식하다	休息
rest	휴양하다	休養
rest	영면하다	永眠
restart	재출발하다	再出發
restoration	회복	回復
restoration	복구	復舊
restoration	복위	復位
restoration	반환	返還
restoration	환부	還付
restraint	제지	制止
restraint	구속	拘束
restraint	속박	束縛
restrict	한정하다	限定
restriction	제한	制限
restriction	한정	限定
restriction	구속	拘束
restriction	속박	束縛
restrictive	한정적인	限定的
result	결과	結果
result	성과	成果
result	결과	結果
resultant force	합력	合力
resuscitation	소생	蘇生
retail	소매	小賣
retainer	가신	家臣
retainer	신하	臣下
retard	저지하다	沮止
retention	보유	保有
retention	보유	保有
retiree	퇴직자	退職者
retirement	은퇴	隱退
retirement	은거	隱居
retirement age	정년	定年
retranslation	중역	重譯
retranslation	개역	改譯
retreat	퇴각	退却
retreat	후퇴	後退
retreat	후퇴하다	後退
retreat	퇴각하다	退却
retrial	재심	再審
retribution	보복	報復
retrograde	역행하다	逆行
retrograde	역행하다	逆行
retrogression	퇴화	退化
return	회복하다	回復
return	반환하다	返還
return	귀환	歸還
return	복귀	復歸
return	재발	再發
return	반환	返還
return	수익	收益
returnee	귀환자	歸還者
reunion	재회	再會
revelation	폭로	暴露
revelation	천계	天啓
revelation	계시	啓示
revenge	복수	復讐
revenge	복수하다	復讐
reverberate	반향하다	反響
reverberation	반향	反響
reverberation	반사	反射
revere	존경하다	尊敬
reverence	존경	尊敬
reverence	존경하다	尊敬
reverie	몽상	夢想
reversal	역전	逆轉
reverse	반대	反對
reverse	배면	背面
reverse	역전하는	逆轉
review	재음미	再吟味
review	복습	復習
review	비평	批評
review	재심	再審
review	복습하다	復習
review	시찰하다	視察
review	재심하다	再審
review	비평하다	批評
review	복습하다	復習
revision	개정	改訂
revision	교정	校訂
revision	정정	訂正
revision	개역	改譯
revoke	폐지하다	廢止
revolt	폭동	暴動
revolt	반감	反感
revolt	반항하다	反抗
revolt	반역하다	反逆
revolution	회전	回轉
revolution	선회	旋回
revolution	운행	運行
revolution	회전	回轉
revolution	회귀	回歸
reward	보수	報酬
rhapsody	광상곡	狂想曲
rhythm	율동	律動
rhythm	운율	韻律
rib	늑골	肋骨
rider	기수	騎手
ridicule	조롱	嘲弄
rifle	소총	小銃
right	정당	正當
right	정의	正義
right	권리	權利
right angle	직각	直角
righteousness	정의	正義
rime	무빙	霧氷
ringleader	장본인	帳本人
ringworm	백선	白癬
riot	폭동	暴動
riot	소요	騷擾
riot	소동	騷動
ripeness	성숙	成熟
ripeness	원숙	圓熟
ripple	파문	波紋
rise	향상하다	向上
rise	등귀하다	騰貴
rise	융기하다	隆起
rise	향상	向上
rise	등귀	騰貴
rise	기원	起原
rising	상승	上昇
rising	기상	起床
risk	모험	冒險
risk	모험하다	冒險
rival	경쟁자	競爭者
rival	적수	敵手
rival	경쟁하는	競爭
rival	경쟁하다	競爭
river	하천	河川
road	도로	道路
roadway	차도	車道
roar	노호하다	怒號
roar	포효	咆哮
roaring	포효하는	咆哮
roaring	노호하는	怒號
robbery	약탈	掠奪
rock	암석	岩石
rock drill	착암기	鑿岩機
rocket	봉화	烽火
role	역할	役割
rooftop	옥상	屋上
room	여지	餘地
room	여유	餘裕
root	근저	根底
root	근원	根源
root	본원	本源
root crop	근채류	根菜類
root hair	근모	根毛
root stalk	근경	根莖
rose	장미	薔薇
rosewood	자단	紫檀
rostrum	연단	演壇
rotation	선회	旋回
rotation	윤번	輪番
round table	원탁	圓卓
rout	궤주	潰走
route	항로	航路
roving	방랑하는	放浪
royalty	왕권	王權
rubbing	마찰	摩擦
ruby	홍옥	紅玉
ruffian	악한	惡漢
ruin	잔해	殘骸
ruin	파멸	破滅
ruin	멸망	滅亡
ruin	몰락	沒落
ruin	파멸	破滅
ruin	파멸하다	破滅
rule	규칙	規則
rule	주의	主義
rule	지배	支配
rule	치세	治世
rule	규칙	規則
rule	괘선	罫線
rule	지배하다	支配
rule	통치하다	統治
rule	지배하다	支配
rule	통치하다	統治
ruler	통치자	統治
ruling	재정	裁定
rumination	반추	反芻
runaway	도망자	逃亡者
rundown	협살	挾殺
runner	주자	走者
runner	주자	走者
running dog	주구	走狗
running water	유수	流水流水
runway	활주로	滑走路
rupture	파열	破裂
rupture	결렬	決裂
rupture	파열하다	破裂
rush	쇄도하는	殺到
rush	쇄도하다	殺到
rush	돌진	突進
rut	발정하다	發情
saccharide	당류	糖類
sacredness	불가침	不可侵
safekeeping	보관	保管
safety	안전	安全
sagacity	총명	聰明
sail	항정	航程
sailcloth	범포	帆布
sailing	범주	帆走
sailing	출범	出帆
sailor	선원	船員
sailor	수부	水夫
sailor	수병	水兵
saint	성인	聖人
sale	판매	販賣
sale	매각	賣却
sale	매상고	賣上高
saleswoman	여점원	女店員
saliva	타액	唾液
saltpan	염전	鹽田
saltpeter	초석	硝石
salvation	구제	救濟
salve	연고	軟膏
sameness	동일	同一
sample	견본	見本
sanction	재가	裁可
sanction	제재	制裁
sanctuary	성당	聖堂
sandbank	사주	砂洲
sandstone	사암	砂岩
sap	수액	樹液
sapling	묘목	苗木
sapphire	청옥	靑玉
sarcasm	풍자	諷刺
sarcoma	육종	肉腫
sarcophagus	석관	石棺
satellite	위성	衛星
satiety	포만	飽滿
satire	풍자	諷刺
satire	풍자하다	諷刺
satirize	풍자하다	諷刺
satisfaction	만족	滿足
saving	절약하는	節約
saving	저축	貯蓄
saving	절약	節約
scabies	개선	疥癬
scald	화상	火傷
scale	척도	尺度
scale	규모	規模
scale	천칭	天秤
scandal	추문	醜聞
scandal	의옥	疑獄
scarlet fever	성홍열	猩紅熱
scenario	각본	脚本
scene	장면	場面
scene	광경	光景
scenery	풍경	風景
schedule	예정하다	豫定
scheme	계획	計劃
scheme	계획하다	計劃
scholar	학자	學者
scholarship	학식	學識
school	학교	學校
school age	학령	學齡
science	과학	科學
scientific	과학적인	科學的
score	득점	得點
score	득점하다	得點
scorn	경멸하다	輕蔑
scoundrel	악당	惡黨
scrap	폐물	廢物
scrap	폐기하다	廢棄
scratch	찰과상	擦過傷
scribe	필기자	筆記者
script	원본	原本
scripture	경전	經典
scripture	성전	聖典
scrutiny	음미	吟味
sculpture	조각	彫刻
scurvy	괴혈병	壞血病
sea bathing	해수욕	海水浴
sea horse	해마	海馬
sea level	해면	海面
sea robber	해적	海賊
sea route	해로	海路
seafood	어개	魚介
seal	인장	印章
season	계절	季節
seasoning	조미	調味
seasoning	조미료	調味料
seat	좌석	座席
seaweed	해초	海草
seclusion	은퇴	隱退
second crop	이작	裏作
second lieutenant	소위	少尉
secrecy	비밀	秘密
secret	비결	秘訣
secretary	비서	秘書
secretary	서기	書記
secretary	장관	長官
sect	종파	宗派
section	절단	切斷
section	구분	區分
section paper	방안지	方眼紙
security	안전	安全
security	보장	保障
security	증권	證券
security	증권	證券
see	경험하다	經驗
see	방문하다	訪問
see	경험하다	經驗
seed	종자	種子
seed leaf	자엽	子葉
seedbed	묘상	苗床
seeding	파종	播種
seedling	묘목	苗木
