다북쑥속의 식물	オウシュウヨモギ
쇼핑	買い物　
와플<과자>	つまらない話,ワッフル
실망	遺憾,失望
증가하다	増やす,増す,増加する
점잔빼며 걷는	小刻みな
식도	しょくどう,食道
스목	仕事着
스모	相撲
수착	収着
알레포	アレッポ
승리	1. しょうり,kachi,勝利,勝ち,ゆうしょう 2. 達成,業績
밀착 인화기	印刷業者
무향실	霊安所,遺体安置所
수축	狭窄
수출	ゆしゅつ,輸出品,輸出,yushutsu
싸다	さやに入れる
최후로	tsui ni,終に,遂に,竟に,ついに
꾸며낸 것	架空,小説
몹시 추운곳	冷蔵庫
칸델라	ろうそく
얼간이	うすのろ,でくのぼう
단백석	オパール
계산용의	計算高い,keisandakai,けいさんだかい,計算可能な
대륙붕	大陸棚,tairikudana,たいりくだな
아모스	1. アモス書 2. アモス書
무한대	無限
쓸개	胆嚢
어슬렁거리다	散歩する
산아 제한	家族計画
알맞은	安い,手ごろな
취약권	アセノスフェア
대리모	代理母
카스피 해	カスピ海
즐겁게하다	楽しませる,もてなす,歓待する
그대로인	一切の
단백질	蛋白質
어긋남	違い
헤로도토스	ヘロドトス
알리다	1. 知らせる 2. 通告,知らせる
종합의사	ゼネラリスト,ジェネラリスト
우랄산맥	ウラル山脈,ウラル
오해하게 하는	欺瞞的な
뉴클레오티드	ヌクレオチド
시시덕거림	軟派
1인승 가마	駕篭
시기하는	羨ましい
수여하다	授与する
노동조합	労働組合
화려한것의 무리	集まり,アステリズム,星座絵,星群,一群,せいざ
어린이성	子供時代
수평 낙하	パンケーキ
심한	酷い,凄い
심황	ウコン
댈러스	ダラス
축치어	チュクチ語
시합	トーナメント
박테리아	バクテリア,細菌,bakteria,きん
암류권	アセノスフェア
시행	強制,実施
신피	上皮
신학	1. 神学 2. 神学 3. 神学,しんがく
캐나다	Kanada,加奈陀,カナダ
신혼	蜜月,新婚旅行
쏘련	ソヴェト連邦,ソビエト連邦,ソ連,蘇連,ソビエト
카다프	カーディフ
신화	伝説,神話
실패	堕胎,流産,失敗
단락부호	段落
췌장염	膵炎
심판	1. レフリー 2. レフリー 3. レフリー 4. レフリー
변소	かわや,手洗い,べんじょ,厠,便所,化粧室,憚り
법원	裁判所
벌이	ベーコン
생태학자	環境学者
흰개미	白蟻,シロアリ
박학	博学,学
바흐	バッハ
범인	罪人,犯人
벌족	家族
볼모	hitoshichi,人質,ひとしち
범위	1. 程度 2. 地平線
아름다운 물건	うた,詩的表現
다신교	多神教
방향	臭気,匂い,香り
방해	1. 障害物 2. 障害物 3. 障害物
보복	1. 復習 2. ふっきゅう,復習
보병	歩兵
발효	発酵
병상	toko
안도라	アンドラ,アンドラ公国
병사	飼葉
부관	中尉,副官,少尉
백합	百合,ユリ,yuri
북경	北京,ペキン
방화	放火
서양 호박	1. zukkīni,ズッキーニ 2. ズッキーニ 3. ズッキーニ
범주	部門,家族
부근	近所,概算,近傍,近似量
북극	北極
풍선난초	カリプソ
부기	簿記
벤젠	ベンジン
분광	分光特性,スペクトル
버찌	さくらんぼ,桜ん坊,桜桃
부귀	繁栄
불경	冒涜
의치 기공사	歯科技工士
벤진	ベンジン
벽옥	碧玉
데네브	デネブ,夏の大三角形
벽장	todana,とだな,戸棚,食器棚
병약	衰弱
보석	1. 宝石 2. ルビー 3. たま,宝玉
복사	1. レプリカ,複製,写し,模造品 2. ファクスを送る
비잔티온	ビュザンティオン
회의심	かいぎ
변종	突然変異体,突然変異
복수	1. 復習 2. ふっきゅう,復習 3. 復習
보수	1. サラリー,給料,きゅうりょう 2. 報酬 3. ほうしゅう 4. 報酬
변절	背信
병원	病院
버킷	バケツ
분노	こうしん
벽지	壁紙
버터	にゅうらく,bata,バター
더듬기	1. 吃り 2. 吃る,どもり
부두	波止場
불독	ブルドッグ
보오	ボー
희가스	貴ガス,希ガス
방사능 폐기물	放射性廃棄物
회음부	会陰
보육	かんご
보이	ベルボーイ
복음	福音
볶은	スクランブルドエッグ,スクランブルエッグ
복장	1. 衣服,服,衣類,fuku 2. 衣装 3. 衣装,衣類,ifuku,いふく 4. 衣装
제임스 본드	ジェームズ・ボンド
복제	レプリカ,複製,写し,模造品
수호천사	守護天使
조각 그림 맞추기	ジグソーパズル
보존	保持,保存
암흑 물질	暗黒物質
부레	膀胱
봄의	若々しい
봉우	犎牛,瘤牛
번호	電話,電話番号
보지	いんもん,inmon,陰門
어린시절	子供時代
보증	保証
복지	幸福,福祉
병치	並列
뎅그열	デング熱
버마	ミャンマー,ビルマ
꼭두각시	偶人,操り人形,絡繰り人形,パペット
벌레	虫螻
백신	疫苗,痘苗,ワクチン
미진	原子,元素
반역	裏切り
배신	裏切り
민중	質量
민족	国籍,こくせき
배영	背泳
재빠른 손재주	手品
배열	集まり,アステリズム,星座絵,星群,一群,せいざ
본국	ぼこく,bokoku,ほんごく,母国,本国,hongoku,祖国
발전	進化
보급	飛散,hisan,ひさん,分散,拡散
배알	1. 糞袋,腸,大腸,ちょう,腸管,糞嚢 2. 肝
발음	発音
방언	方言,ほうげん,訛り
배를린	ベルリン
밝은	明るい,あかるい,明い,akarui
밝음	光度
보고	kura,倉
앵귈라	アンギラ
뮤지컬	ミュージカル
무시무시한	身の毛もよだつ
밥줄	しょくどう,食道
백인	白人
방정	順当,正則
발진	蕁麻疹
병동	パビリオン
마케도니아의왕	アレキサンダー大王,アレクサンダー
인위적으로	人工的に
방위	方位角
바지	ズボン,パンツ
바질	1. バジリコ 2. バジリコ,バジル
배지	培地
배짱	度胸,勇気,きも
벼룩	ノミ,蚤
변량	確率変数
밴조	バンジョー
봉급	サラリー,給料,きゅうりょう
병든	病気
봉기	反乱,ほうき,hōki,暴動
백조	白鳥,鵠
보도	舗装,舗道,歩道
타나토스	タナトス
발췌	抜粋
벨벳	ベルベット
대수롭지 않은	些細
이야기거리	話題,主題
벌새	ハチドリ
미트	手袋
형사 피고인	罪人,犯人
복도	1. 回廊,回廊地帯,空中回廊,廊下 2. 美術館
병렬	並列
미터	1. メートル 2. メートル 3. メートル
바친	seinaru
본능	本能
오줌누다	小便をする,おしっこをする
보다	1. 見る,注視する 2. 見る,注視する 3. 見る
법석	お祭り騒ぎ
박탈	民営化
티베트 자치구	チベット自治区,チベット,西蔵
변발	お下げ
범선	帆船,はんせん
벽보	張り紙,ポスター
배추	白菜,ハクサイ
다수결	人口調査,戸籍
미풍	強風
별명	1. あだ名 2. みょうじ,苗字,姓氏,あだ名,名字,姓 3. 仮名,あだ名,源氏名,かな,假名 4. あだ名,異名,偽名
바쿠	バクー
밍크	ミンク
결정꼴의 마약	アイスクリーム,aisukurīmu,アイス
뱃짐	つみに,tsumini,積荷
바퀴	車輪,輪
본래	勿論,もちろん,当然
동성애의 사람	同性愛,dōseiaisha,dōseiai,性的指向,どうせいあい
방탕	酒色,淫乱,淫逸,放蕩,漁色
벌써	もはや,とっくに,最早,既に
미학	美学,美學
방콕	バンコク
백치	頓痴気,低能者,間抜け,baka
맨그로브	紅樹林,マングローブ
배치	集まり,アステリズム,星座絵,星群,一群,せいざ
큰 천막	パビリオン
라이위스키	ライムギ
반토	アルミナ,酸化アルミニウム
아니오	1. とも,……とも,いいえ 2. いいえ
보륨	ボーリウム
산악 지방	sanmyaku,山脈
보름	満月
보리	1. オオムギ 2. 大麦,麦,オオムギ
캥거루	カンガルー
과테말라	1. ナイジェリア 2. グアテマラ 3. グアテマラシティ,グアテマラ
복막	腹膜
흑멧 돼지	イボイノシシ,疣猪
혼탁도	濁り,濁度
발표	プレゼンテーション
큰 차양	パビリオン
보루	要塞
붉은 행성	火星
번역	翻訳
프랑스대 혁명	フランス革命
분천	間欠泉
비듬	雲脂
붙음	妄想
~의 값을 구하다	批評する
범고래	鯱,さかまた,しゃち,シャチ
비누	石鹸
부질	グルテン
빈대	トコジラミ,南京虫
비데	ビデ
비다	1. 空の 2. 空の 3. 空の
비대	肥大,肥満
야금술	金属工学
반물질	反物質
비름	アマランサス
부탄	ブータン
부탁	願い,依頼,嘆願
비료	肥料
계산상의	計算高い,keisandakai,けいさんだかい,計算可能な
부추	1. 韮,ニラ 2. ねぎ
빼냄	マイナス,引き算,減法
부칭	父称
비밀	ひみつ,秘密,グライバシー
비방	1. ちゅうしょう,中傷 2. ちゅうしょう
비법	きりふだ,切り札
남녀차별	性差別
비번	kyūjitsu,きゅうじつ
분포	分散
침대요	蒲団,ふとん,寝具
빠름	速度
상당한 인물	人,人間
비만	肥大,肥満
문헌학	言語学,文献学
늪지의	浸水した
비명	エピタフ,ひめい,himei
분통	癇癪
공중변소	かわや,手洗い,べんじょ,厠,便所,休憩所,化粧室,憚り,トイレ
진정으로	真剣に,切実に,真面目に
부흥	1. 蘇生,甦生 2. 復活
비새	ケッテイ
비소	ヒ素
빨리	さっさと
북한	北朝鮮,朝鮮民主主義人民共和国
후세인	フセイン
북해	北海
부활	1. 蘇生,甦生 2. 復活
아동학	小児科学,小児科
비비	狒々
로마 교황	教皇,法王,ポープ,ローマ法王,ローマ教皇
빗변	斜辺
액량의 단위	クォート
보충	chōshū,ちょうしゅう,徴集
분배	分配,割り当て
부부재산계약	婚前契約
북미	北米,北アメリカ
본체	実体
프로그래밍	プログラミング,番組
프로그래머	ソフトウェアエンジニア,プログラマー,ソフトウェア開発者
구내 도로	出入用道路
니오브	ニオブ
부문	部門,家族
니오븀	ニオブ
분모	分母
분만	1. 分娩,san,分身,出産 2. 妊娠
분리	1. 離婚,えんきり 2. 論理和 3. 論理和
본토	大陸,内地,本土
분사	分詞
다신론	多神教
보통	いつもは,俗,通常,tada,何時も,一般に,日頃,大抵,普通に,ただ,いつも
부사	副詞
하이퍼링크	ハイパーリンク,超連結子
측미기	マイクロメートル
점잔 빼기	hitogara,ひとがら,人柄
병폐	潰瘍
측미계	マイクロメートル
손 씻는 그릇	洗面器
휴대폰	携帯,けいたいでんわ,携帯電話,セルフォン,ケータイ,セルホーン
부빙	氷山
시에 적합한	詩人の,詩的な
불법	不当,不當
부분	1. 部分 2. 部分
별표	アスタリスク,星印
비계	あしば,足場
너그러운 사람	おうじ,ōji,王子
비골	ひこつ,hikotsu,腓骨
비과	ビワ,枇杷
보통 정도로	いつもは,俗,通常,tada,何時も,一般に,日頃,大抵,普通に,ただ,いつも
야경화	夜想曲
부아	肺,肺臓
볼펜	ボールペン
비가	死者のためのミサ,鎮魂歌
불신	不信心
붕소	硼素,ホウ素
반모음	半母音
비겁	臆病,憶病
불소	フッ素
부식	侵食,腐食,しんしょく,shinshoku
볼트	ボルト
회장석	灰長石,かいちょうせき
부족	1. 不足 2. 飢饉,不足
분점	分点
부종	浮腫,水腫
셀 수 있는	可算
브롬	臭素
부인	1. 奥様,fujin,クイーン 2. 家内,fujin,妻,女子,つま,okusan,奥さん 3. 女
회전등	ランタン,提灯
붕어	鮒,フナ
분재	盆栽
비난	告発,容疑,告訴,ようぎ,言いがかり
건반 악기	鍵盤楽器
부정	不忠実,不信実,不貞
부제	字幕
불어	1. フランス語 2. フランス人
분열	論理和
증대하다	増やす,増す,増加する
불온	発酵
불안	1. 不安,心配 2. 心配
날의사면	斜面
빙하	氷河
시들지않는꽃	アマランサス
막다른 골목	袋小路
비파	ビワ,枇杷
이리자리	紅斑性狼瘡
비품	kagu,かぐ,家具
모닝 코트	アゲハチョウ,agehachō
배타적인 소집단	派閥
미시간	ミシガン
미식가	美食家,料理通,グルメ,食通
다운증후군	ダウン症,ダウン症候群
미소한	ごく僅かの
합성하다	合同
고대 그리스어	古代ギリシャ語
안녕하세요	こんにちは,こんばんは
결혼의 축가	処女膜
동물 기생증	人獣共通感染症,人獣伝染病,動物原性感染症,人獣共通伝染病,じんじゅうきょうつうかんせんしょう,jinjūkyōtsūkansenshō
비용	入費
비유	比喩,修辞,転義法,文彩,言葉のあや,あや
비율	人差し指
비역	こうもんせいこう,アナルセックス
의미가 흐릿한	くもり,(kumori)
비준	ひじゅん,批准,hijun
비중	比重
뺄셈	マイナス,引き算,減法
감금하다	刑務所に入れる,投獄する,けいむしょに入れる
빙원	氷山
비전	深遠な,秘儀の,奥義の,秘密の
민수기	民数記
신성하게하다	恵む
국가적인	国立
비싼	1. 高い 2. 高い
빙산	1. 氷山 2. 氷山
비점수차	乱視
법정 변호사	弁護士
빙실	冷蔵庫
브로츠와프	ヴロツワフ
대벌레	ステッキ,杖,つえ
야금학	金属工学
안드레	アンドリュー,アンデレ,アンドル
본국 송환	そうかん
비취	翡翠,ヒスイ
논리적 타당성	論理学
빵집	ぱんや,panya
모험을 좋아하는	1. 冒険好きな,冒険的な 2. 大胆な
빙점	融点
비축	未処理の仕事
빈차	怠け者
비책	調理手順,レシピ
사워크라우트	ザワークラウト
중국 관화	北京語,華語,国語,北京官話,普通話
카나다	Kanada,加奈陀,カナダ
사구	砂丘
뿔의	むらむら
흥겹게	うれしく,運良く,楽しく,ureshiku
베이지색의	ベージュ
피할 수 없는	必然の,避けがたい
상가	町,都市,街,村
살구	1. サーモン,杏子 2. 杏子
사기	詐欺
산길	ガート
산기	腰痛
꽃잎 장식	フラストレーション,障害物
오랜지주스	オレンジジュース
금리이율	金利,利率
삭감	引き算,減法
방문자	hōkyaku,kyakujin,訪客,きゃくじん,客人
사모바르	サモワール
사과	1. リンゴ,林檎,りんご,林檎の木,リンゴの木 2. リンゴ,林檎 3. リンゴ,林檎,林檎の木,リンゴの木 4. 林檎の木,リンゴの木
사격	斜格
다색의	多色
취사장	調理,料理
미술관	1. 美術館 2. 美術館 3. 画廊,美術館 4. 博物館
양귀비	1. ポピー,ケシ色,ケシ,ヒナゲシ 2. ヒナゲシ
상동	相同性
상도	高速道路,公道,街道,公路,道
새다	にじみ出る
살다	住む
당분해	解糖系
생각	1. 信奉,信仰,宗教,しょしん,かくしん 2. 観念,概念,構想
생계	生活
사당	聖骨箱
사담	サッダーム・フセイン
사단	サタン,魔王
사다	1. 買う,買 2. える,得る,手に入れる,買う,成し遂げる
작은 마귀	エルフ
상공	極楽,パラダイス,楽園,十万億土,rakuen,らくえん,天堂
삐다	挫く
사나	サヌア,Sanua
상기	前述の
백리향	タイム
도량이 넓은	カトリック,カソリック
사치스런	豪華な
번식력이 있는	肥沃な
방목지	放牧地
배멀미	船酔い
쓸쓸한 곳	孤独
미소년	キューピッド
반복의	イテレーティブな
쐐기벌레	皮虫,毛虫,ワーム,芋虫,キャタピラ,無限軌道
어머니의	1. 母方の,母性 2. 母方の,母性
애도가	死者のためのミサ,鎮魂歌
심적 갈등	離岸流,りがんりゅう,riganryū
민사법	大陸法,民法
미생물	1. びせいぶつ,微生物 2. 微生物
짖굳은 장난	悪戯,akugi,あくぎ,いたずら,itazura
배수 분지	流域面積
저명하다	祝われた
축조학	プレートテクトニクス
죄인	罪人
주부	主婦
좡족	チワン族,チワン語
중미	中米,中央アメリカ
좀 습한	湿った
좌천	陥落
중석	タングステン
지각	ishiki,いしき
중세	暗黒時代
지갑	財布,ブリーフケース,札入れ
직각	直角
조합	クラブ,社会
조항	地平線
직경	直径
지고	主権
중수	じゅうすい,重水
종파	宗教
직공	たくみ
이종족 혼교	混血
주소	1. 生息地,棲息地 2. 住居,seki,家屋,せき,住宅,居留
앙갚음	復習
증기	蒸気,湯気,気体
억만장자	億万長者
죽순	竹の子,筍
중상	ちゅうしょう
방광염	膀胱炎
주로	おもに,主に
전화	1. 電話 2. 電話 3. 電話 4. 電話,電話番号
전혀	絶対に
전해	電解,電気分解
전함	戦艦
바꿔침	dainyū,代入,だいにゅう
젖통	ちち
조원	庭いじり
졸업	そつぎょう
바나듐	バナジウム
중단	きゅうし
종양	腫瘍
존재	存在
적합	特徴,適当
적하	つみに,tsumini,積荷
종악	ゴング
중동	近東,中東,ちゅうとう,Chūtō
주민	1. 人民,市民,国民,公民,民衆,臣民,民 2. 隣人,お隣
주방	料理,料理術,台所,割烹
앙골라	アンゴラ
제후	おうじ,ōji,王子
조충	離岸流,りがんりゅう,riganryū
종종	しばしば
정화	浄化
바나나	1. バナナ 2. 芭蕉,バナナ 3. バナナ 4. バナナ
종적	逃げる,nigeru）,失踪する
주말	週末
주막	舎,居酒屋,宿屋
종제	ネーブル,臍
종점	終了
글루타민산	グルタミン酸
군복의 상의	ブラウス
죄수	とりこ,hitoshichi,人質,ひとしち
주문	邪視
담당원	パブリック・リレーションズ,PR,ピー・アール
정황	前後関係,状況,文脈
좡어	チワン族,チワン語
중력	重力,じゅうりょく,万有引力,いんりょく,引力
주택	住居,seki,家屋,せき,住宅,居留
질량	重量,質量
지뢰	地雷
직류	直流,直流電流
지류	小川,流れ,入江,いりうみ,いりえ,入海,川,irie,iriumi
지레	前以て
지령	命令
흔들리다	1. 傾く 2. ononoku,おののく 3. 揺らす,震える,ぶれる,ブラブラさせる,ブラブラする
태반한 행위	油断,過失,yudan,ゆだん
피자식물	被子植物
불가해안 사물	謎,nazo
직복	トーガ
지복	幸い,幸せ
증손	大甥
지붕	屋根
지불	スコットランド人
질문	1. 試験,クイズ 2. 質問 3. 尋問 4. 願い,依頼,嘆願
지배	主権
지방	近所,概算,近傍,近似量
진미	フォアグラ
아제르바이잔어	アゼルバイジャン語
작은 물고기	若者
주판	1. そろばん,頂板,算盤 2. そろばん,算盤
지리	地理学,地理,chiri
배경의	風光明媚
지네	百足,ムカデ
줄자	メートル
주정	エタノール
주제	1. 主題 2. 主題 3. 主題 4. 話題,主題
주절	主文
종형	いとこ,従兄弟,従姉妹
주인	主,持ち主
주의	主義,流派
죽은	亡くなった
주위	辺り,周囲
인도양중의 군도	セーシェル,セイシェル
집게	火箸,パンばさみ
지금	実際に,現在,現在は
중심	じゅうしん
짓다	書く
진디	アブラムシ
진동	1. 震え 2. ononoku,おののく 3. 振戦
중지	休み
중조	重曹
집념	妄想
중죄	犯罪
중이	中耳
변경할수 없는	不可逆な
중위	中尉,副官,少尉
중유	灯油
진앙	震央,震源地
지역	近所,概算,近傍,近似量
지연	先延ばし
직업	1. 仕事,職業 2. 仕事,職業,天職 3. 仕事,職業 4. 仕事,職業 5. 仕事,職業
힌디어	ヒンディー語
질염	膣炎
바께쓰	バケツ
직장	職場
지점	至点
지주	主,持ち主
진주	梨,梨の実
지질	脂質
지진	地震
지지	地理学,地理,chiri
여호와의 증인	エホバの証人
황제 정치주의	スターリニズム,独裁政治,幕府,bakufu,独裁
짝의	姉妹
무직의	失業者,しつぎょうしゃ
지출	入費
일시적인	短命な,はかない,束の間の
주형	雛形
주혈	トキソプラズマ症
질병	疾病,yamai,病気,疾患
주해	アノテーション,注釈
밀의 녹말	デンプン,澱粉
축전지	二次電池,蓄電池
중합	重合
축제일	国民の祝日,祭日,建国記念日,祝日,休日,祝祭日
조롱나무의 일종	万作,mansaku,まんさく
종신 고용	えいせい,常,永世
훌륭한 솜씨	武勇,技量
진사	くれない,朱,あか,緋色,丹朱
지성	叡智
지세	地理学,地理,chiri
이해하다	1. 分かる 2. 分かり切る,了解する 3. 見る 4. 翻訳する 5. 理解する,分かる 6. 分かる,翻訳する 7. 分かる
증언	1. 証言 2. 証言
이시스풍요의 여신	イシス
지상	人相,ninsō,にんそう,顔
대다수	大多数
중화	中和
질소	1. 窒素 2. 窒素
지수	人差し指
증오	1. 憎しみ 2. 存分,憎しみ,憎悪
질색	憎しみ
질산	硝酸
진성	水銀
진심	こんせつ,konsetsu,懇切
(적국에) 협력하다	(敵に) 協力する,共同して働く,協力する
지시	意義,心,意味
지식	心得,chishiki,学識,ちしき,認知,こころえ
지압	指圧
집시	ジプシー,ロマ
짐승	動物
짝패	親友,友,shin'yū,しんゆう
직후	縁起
진화	進化
질환	衰弱
질화	硝化
집행	強制,実施
진흙	1. 泥 2. スライム,ぬめり
엄파이어	レフリー
고수의 잎	コリアンダー
바꾸다	1. 取り換える 2. 替える 3. 通う 4. 変える
쬐다	炙る
식품 첨가물	食品添加物
매니토바 주	マニトバ州
쪽빛	インディゴ
기름기기가 도는	ごますりの
흥미로운	おもしろい,面白い,omoshiroi
집착	接着
지친	故障
진취	きぎょう,企業,kigyō
애국심	愛国主義,愛国心,国家主義
지퍼	ファスナー,ジッパー
성취하다	達成する,収める,成し遂げる
상서로운	1. 運のよい,幸運,運の良い,ラッキー 2. さい先のよい
지학	地球科学
지프	ジープ
동음 이의어	同音異義語,同音語
지표	晴雨計,気圧計
지폐	紙幣
흐리다	不明
노예의 신분	しんじゅう
심부름꾼	ツアーコンダクター,宅配会社,メッセンジャー,旅行添乗員,つかい,運送会社
희금속 원소	プラセオジム
애국자	愛国者
자명한이치	諺,ことわざ,格言
에그노그	アドヴォカート
일종의 리큐르술	シシウド,アンゼリカ
소방펌프	消防車
건강이 좋지 않은	病気
동트는 시각	akegata,暁,夜明け,あけがた,明け方
바닷가	1. 浜,砂浜 2. hama,海辺,沿岸
부자연한 해결책	急場しのぎ,どんでん返し
찰나	国境
참깨	1. ゴマ 2. 胡麻,ゴマ
채광	掘削,開削
창고	1. kura,倉 2. 倉庫,倉
창공	天空,tenkū,てんくう
허튼소리	1. ゴミ 2. 無意味
눈부시게 빛나는	眩しい
싱가포르	1. シンガポール 2. シンガポール 3. シンガポール,新嘉坡
대형 고속 컴퓨터	メインフレーム
약손가락	藥指,薬指
보궐인 명부	順番待ちの名簿
선사시대	先史時代
영국의옛금화	天使,tenshi
저당잡힘	抵当,住宅ローン,抵当権
바닷말	海草
바닷물	かいすい,鹹水,海水,塩水
출입구	ゲートウェー
책방	本屋,書店,ほんや,hon'ya
추악한	酷い,凄い
마르크스	マルクス
오디세이아	オデュッセイア
찬성	拍手
청년	少年,ティーネージャー
배교자	背信者
북미산의 나무	ポーポー
철단	頬紅
차선	規定航路,細道,路地
배고픈	お腹の空いていた,空腹な,飢えた
참새	すずめ,雀
참매	オオタカ
천국	極楽,パラダイス,楽園,十万億土,rakuen,らくえん,天堂
천구	天空,tenkū,てんくう
첨가	にゅうかい,nyūkai,入会
상처받기 쉬움	zeijakusei,ぜいじゃくせい,脆弱性
철금	鉄琴
창립	就職
전핵생물	原核生物
체격	肉,解剖学,人体
체계	tatemono,建物,ビル,家
청구	願い,依頼,嘆願
러더포듐	ラザホージウム,ラザホルジウム
처남	義兄
피겨스케이트	フィギュアスケート
법률화하다	合法化する
참람	おうしゅう,押収,ōshū
차르	ツァーリ,ツァール,ツァー
천거	推薦
천골	仙骨
아니다	いいえ
창녀	売春婦,娼婦,パンスケ,ばいしゅん,させ子,売女,街娼
차드	1. チャド 2. チャド
있음직하지 않게	凄く
천식	喘息
금욕적인	禁欲
신문기수투의 문체	報道,ジャーナリズム
청산	シアン化水素
당뇨병	糖尿病,tōnyōbyō),とうにょうびょう
촛대	燭台
천수	雨,雨水,あまみず,amamizu
척수	脊髄,脊髓
청소	じょうか,掃除
다도해	エーゲ海
이긴 흙	パグ
차차	ようやく,小刻みに
찻집	茶室,喫茶店
근친 상간	近親相姦,インセスト
미성의 가수	サヨナキドリ,小夜鳴鳥,夜鳴き鶯,鶯,ナイチンゲール
책장	本棚
창차	糞袋,腸,大腸,ちょう,腸管,糞嚢
천사	1. 天使 2. 天使,tenshi
결심하다	思い切る
차츰	ようやく,小刻みに
초대	招き,招待,招待状,誘い
백금색	プラチナ,ぷらちな,白金
총끝	銃口
창업	就職
철망	ガーゼ
창연	ビスマス
찬장	todana,とだな,戸棚,食器棚
철리	哲学
차일	日陰,日よけ
참여	参加
천막	日陰,日よけ
청람	インディゴ
헬리포트	ヘリポート
첼로	チェロ
채용	chōshū,ちょうしゅう,徴集
창자	糞袋,腸,大腸,ちょう,腸管,糞嚢
처벌	処罰,制裁,刑罰,罰
총검	銃剣
아대륙	亜大陸
처방	調理手順,レシピ
총각	男の子,あんちゃん
책상	1. 机 2. 机 3. 机,たく
민들레	たんぽぽ
베디스케이프	バチスカーフ
채소	野菜,緑黄色野菜
아니스	アニス
청동	1. 青銅 2. 青銅
찬양	いわい,祝い,iwai
착용	横領,ōryō,おうりょう
차양	日陰,日よけ
전쟁 범죄인	戦犯
치과학	歯科学
아가	男の子,あんちゃん
에스프레소 커피	エスプレッソ
"determinative"	限定詞
전매하다	転売する
셀룰로오스	セルロース,繊維素
겨울 잠자다	冬眠
애가	死者のためのミサ,鎮魂歌
암굴	洞窟
아까	さっき
악기	楽器,樂器,gakki
악귀	1. グール 2. おばけ,へんげ,ゴブリン
사우스캐롤라이나	1. サウスカロライナ 2. サウスカロライナ
안구	眼球
안경	1. 眼鏡,ゴーグル 2. 眼鏡,megane
뉴욕주	1. ニューヨーク州,ニューヨーク市,ニューヨーク,紐育 2. ニューヨーク州,ニューヨーク 3. ニューヨーク州,ニューヨーク
시기 나쁜	ainiku no
안과	眼科学
씹기	咀嚼
채용된 사람	養子
알다	理解する,分かる
야구	野球
약간	多少,少し,こころもち,心持ち
아담	アダム
악대	騸馬
악당	悪党,悪漢,悪人
아니	いいえ
아덴	アデン
광택 있는 청색	トルコ石
앉다	1. 座る 2. 座る 3. 座る 4. 座る
아더	アーサー
안다	立ち込める
아뇨	ううん,いえ
안녕	幸福,福祉
선이 있는	腺状
잘못 부름	誤称,rangnefni
아내	家内,fujin,妻,女子,つま,okusan,奥さん
안뜰	nakaniwa
전문가의	専門的な
알라	アラー,アッラー,アッラーフ
불공평한	不正,不当な
애도	哀悼,悔やみ
아랍	アラビア語
씨름	レスリング
어류학자	魚類学
양곤	ヤンゴン
씨말	牡馬,種馬
아들	1. 息子,坊っちゃん 2. 子,娘,子供
사람의마음을끄는	魅力的
난폭한 사람	穴居人
유흥가의 건달	蜥蜴,トカゲ
전기 쇼크요법	電気けいれん療法
암류	含意
어구	成句,諺,ことわざ
아민	アミン
얼굴	人相,ninsō,にんそう,顔
알몸	素っ裸
암만	アンマン
암말	雌馬,牝馬
아르	アール
남작의 지위	かぞく
씨발	ファックする,セックスする,はめ倒す,セックスをする,寝ると,エッチする,嵌める,性交する
어개	シーフード,魚介類,海産食品,海産物,海鮮
아마	1. 実しやかに 2. 万一,ひょっと,tabun,多分,若しや,まんいち
키르기스스탄	キルギス,キルギスタン
악마	鬼,悪魔,オーガ,akuma,ま,あくま,魔王
약대	アセノスフェア
씨실	ワン
미래파	未来派
여가	1. ひま,暇,hima,余暇,閑散,閑暇 2. 暇,余暇,閑散,閑暇
다리어	ダリー語
여객	乗客
계산적인	計算高い,keisandakai,けいさんだかい,計算可能な
안벽	波止場
아벨	1. アベル 2. アベル
아빠	パパ,父親,お父さん,父上,父,親父
시골 멋쟁이	kare,カレ,カレシ,kareshi,かれし,ボーイフレンド
약방	薬局
양말	1. ストッキング 2. ソックス,靴下
쓰촨	四川省,四川
우편집배인	郵便配達人
열권	熱圏
연금	年金
암소	1. 雌牛 2. 牛,雌牛 3. 雌牛
안식	死者のためのミサ,鎮魂歌
압수	おうしゅう,押収,ōshū
어림짐작	見当
양딱총나무의 열매	ニワトコ
연꽃	蓮,ロータス
영공	空間
예감	予感
중등 학교	中学校
단말기	端末
예견	予知
영국	連合王国,グレートブリテン島,ブリテン,英国,グレートブリテンおよび北アイルランド連合王国,イギリス
영구	えいせい,常,永世
앞서	予め,あらかじめ
앨범	arubamu,アルバム
여격	与格
아삼	アッサム州
언니	姉妹
연결	結合
연계	性交
여과	濾過
얻다	1. える,得る,手に入れる,買う,成し遂げる 2. 得る 3. 達成する,収める,成し遂げる 4. える,得る,勝利する
여관	1. 舎,居酒屋,宿屋 2. ホテル,旅館
약물	薬理学,薬学
밀라노	ミラノ
연골	軟骨
연고	軟膏
여권	パスポート
작열하는 곳	kama,炉,karo,火炉,かろ
암살	暗殺
악수	あくしゅ,akushu,握手
여급	ウエーター,ウェイトレス,ウェートレス,ウエイトレス
안와	軌道
어른	大人
어림	かしょうひょうか,過小評価
어망	魚網
악의	がいしん
암양	羊,牝羊, 雌羊
얼른	さっさと,早々
역도	重量挙げ,ウエイトリフティング
